pl;pw;sl;sw;id
6.5;3.2;5.1;2.1;411
6.3;2.7;5.2;1.9;412
6.8;2.9;5.3;2.1;413
5.6;2.4;4.8;2.0;414
5.7;2.9;5.1;2.4;415
6.3;3.2;5.2;2.4;416
6.4;3.0;5.5;2.0;417
7.8;3.6;6.6;2.1;418
7.7;2.5;6.9;2.5;419
5.9;2.2;5.0;1.6;420
6.9;3.1;5.6;2.3;421
5.7;2.9;4.7;2.0;422
7.7;2.7;6.7;2.0;423
6.2;2.6;4.8;1.8;424
6.8;3.3;5.5;2.1;425
6.2;2.8;4.7;1.8;427
6.1;3.0;4.8;1.9;428
6.5;2.7;5.6;2.3;429
7.0;2.9;5.7;1.7;430
7.2;2.8;5.9;1.8;431
7.9;3.8;6.3;2.1;432
6.4;2.8;5.5;2.1;433
6.1;2.9;5.0;1.5;434
5.9;2.7;5.5;1.5;435
7.7;2.9;6.1;2.3;436
6.1;3.4;5.5;2.4;437
6.4;3.1;5.4;1.8;438
5.9;3.0;4.8;1.8;439
6.9;3.1;5.3;2.2;440
6.6;3.0;5.4;2.5;441
5.7;2.8;5.1;2.0;443
6.8;3.2;5.9;2.3;444
6.7;3.0;5.2;2.2;446
6.2;2.5;5.1;2.0;447
6.5;2.9;5.0;2.1;448
6.2;3.4;5.3;2.4;449
5.8;2.9;5.0;1.9;450
5.1;3.5;1.5;0.2;451
4.9;2.9;1.3;0.3;452
4.6;3.1;1.1;0.3;453
4.6;3.2;1.5;0.4;454
4.8;3.5;1.3;0.1;455
5.3;4.0;1.6;0.3;456
4.5;3.3;1.5;0.4;457
4.9;3.4;1.5;0.3;458
4.3;3.0;1.3;0.2;459
4.8;3.1;1.3;0.1;460
5.3;3.6;1.3;0.4;461
4.7;3.3;1.5;0.1;462
4.8;2.9;1.4;0.1;463
4.3;2.9;1.1;0.2;464
5.7;4.4;1.4;0.5;466
5.3;3.9;1.3;0.6;467
5.1;3.5;1.3;0.4;468
5.6;3.7;1.6;0.3;469
5.0;3.6;1.5;0.3;470
5.3;3.4;1.5;0.2;471
5.0;3.5;1.4;0.5;472
5.0;3.3;1.6;0.6;474
4.7;3.3;1.9;0.3;475
4.9;2.9;1.5;0.2;476
5.0;3.3;1.5;0.4;477
5.1;3.5;1.6;0.4;478
5.2;3.3;1.5;0.4;479
4.8;3.2;1.5;0.2;480
4.8;3.1;1.6;0.3;481
5.3;3.4;1.5;0.5;482
5.0;4.0;1.5;0.2;483
5.4;4.2;1.4;0.4;484
4.8;3.1;1.4;0.2;485
4.9;3.2;1.1;0.2;486
5.3;3.4;1.3;0.3;487
4.8;3.1;1.4;0.2;488
4.4;2.9;1.2;0.3;489
5.1;3.2;1.4;0.2;490
4.9;3.4;1.3;0.4;491
4.5;3.2;1.3;0.2;493
5.1;3.4;1.5;0.6;494
4.9;3.8;1.9;0.5;495
4.7;2.9;1.5;0.3;496
5.1;3.7;1.7;0.3;497
4.7;3.1;1.4;0.1;498
5.3;3.7;1.4;0.3;499
5.0;3.4;1.3;0.4;500
5.2;2.6;3.9;1.4;510
5.5;3.0;4.3;1.6;517
6.2;2.4;4.9;1.5;523
6.5;2.9;4.3;1.4;526
5.5;2.5;3.8;1.2;531
5.5;2.5;3.9;1.2;540
5.5;2.6;4.4;1.3;541
5.7;2.8;4.1;1.3;547
6.2;3.2;6.0;2.5;551
5.8;2.6;5.0;2.0;552
7.1;3.0;5.9;2.1;553
6.2;2.8;5.7;1.8;554
6.6;2.9;5.9;2.2;555
7.5;2.9;6.7;2.1;556
4.7;2.3;4.3;1.7;557
7.2;2.8;6.3;1.8;558
6.7;2.3;5.7;1.9;559
7.2;3.5;6.1;2.7;560
6.5;3.1;5.1;2.0;561
6.3;2.6;5.2;1.8;562
6.8;3.0;5.4;2.1;563
5.7;2.4;5.0;2.1;564
5.8;2.8;5.1;2.4;565
6.2;3.1;5.4;2.3;566
6.5;2.9;5.4;1.8;567
7.7;3.7;6.7;2.3;568
7.7;2.5;6.9;2.3;569
6.0;2.0;5.1;1.5;570
6.8;3.3;5.6;2.4;571
5.5;2.9;4.8;2.1;572
7.6;2.7;6.7;2.0;573
6.1;2.7;4.9;1.9;574
6.6;3.2;5.7;2.2;575
6.3;2.8;4.8;1.7;577
6.0;2.9;4.8;1.9;578
6.4;2.7;5.6;2.1;579
7.1;2.8;5.8;1.7;580
7.4;2.7;6.0;1.8;581
7.7;3.7;6.2;2.1;582
6.4;2.7;5.4;2.2;583
6.2;2.8;5.1;1.7;584
6.1;2.6;5.4;1.5;585
7.6;3.0;6.1;2.3;586
6.1;3.4;5.5;2.4;587
6.3;3.0;5.5;1.8;588
5.9;3.0;4.7;1.8;589
6.9;3.0;5.2;2.2;590
6.7;3.1;5.5;2.5;591
6.8;3.0;5.1;2.3;592
5.7;2.7;5.1;2.1;593
6.7;3.2;5.8;2.3;594
6.5;3.3;5.6;2.5;595
6.6;2.9;5.2;2.4;596
6.4;2.5;5.0;1.9;597
6.4;2.9;5.2;2.1;598
6.2;3.4;5.4;2.4;599
5.7;2.8;4.9;1.8;600
5.1;3.4;1.3;0.3;601
4.8;3.0;1.4;0.4;602
4.7;3.2;1.3;0.2;603
4.7;3.1;1.5;0.3;604
5.1;3.4;1.2;0.2;605
5.5;3.8;1.7;0.5;606
4.5;3.3;1.5;0.4;607
5.1;3.3;1.4;0.2;608
4.4;2.9;1.4;0.1;609
5.4;3.6;1.5;0.3;611
4.6;3.4;1.6;0.3;612
4.7;2.9;1.2;0.3;613
4.2;2.8;1.0;0.2;614
5.8;4.0;1.1;0.3;615
5.7;4.3;1.5;0.5;616
5.6;3.9;1.5;0.2;619
5.0;3.8;1.4;0.3;620
5.3;3.2;1.6;0.3;621
4.9;3.5;1.3;0.4;622
4.6;3.5;0.9;0.3;623
5.0;3.3;1.7;0.6;624
4.9;3.3;1.7;0.3;625
4.9;3.0;1.4;0.2;626
5.0;3.4;1.6;0.4;627
5.1;3.6;1.4;0.2;628
5.2;3.3;1.4;0.3;629
4.6;3.2;1.5;0.2;630
4.7;3.1;1.4;0.2;631
5.1;4.0;1.3;0.2;633
5.5;4.1;1.4;0.3;634
4.8;3.2;1.4;0.2;635
5.0;3.2;1.1;0.3;636
5.5;3.4;1.3;0.2;637
4.9;2.9;1.5;0.2;638
4.3;3.1;1.2;0.3;639
5.0;3.2;1.5;0.3;640
5.0;3.4;1.2;0.4;641
4.4;2.4;1.2;0.3;642
4.4;3.2;1.2;0.3;643
5.0;3.3;1.5;0.7;644
4.9;2.9;1.3;0.4;646
5.1;3.6;1.5;0.2;647
4.5;3.2;1.3;0.3;648
5.3;3.6;1.4;0.2;649
5.0;3.2;1.3;0.3;650
4.8;2.4;3.3;1.0;658
5.1;2.8;3.8;1.5;660
6.6;3.0;4.4;1.4;666
5.6;2.8;4.1;1.0;668
5.9;3.1;4.8;2.0;671
6.0;2.7;3.9;1.4;672
6.3;2.5;4.7;1.6;673
5.4;2.4;3.7;1.1;681
5.9;2.6;5.1;1.6;684
5.9;3.4;4.5;1.7;686
6.3;3.3;5.9;2.5;701
5.7;2.7;5.1;2.0;702
7.0;3.1;6.0;2.2;703
6.3;2.8;5.6;1.8;704
6.4;3.0;5.7;2.3;705
7.6;2.9;6.5;2.2;706
7.3;2.9;6.4;1.8;708
6.7;2.6;5.8;1.8;709
7.3;3.5;6.2;2.5;710
6.4;3.3;5.1;2.0;711
6.4;2.7;5.3;1.9;712
6.8;3.1;5.5;2.1;713
5.6;2.4;4.9;2.1;714
5.8;2.6;5.2;2.5;715
6.4;2.9;5.5;1.9;717
7.7;2.5;6.8;2.4;719
5.9;2.0;5.0;1.6;720
5.5;2.8;4.9;2.0;722
6.3;2.6;4.8;1.9;724
6.7;3.2;5.6;2.2;725
7.1;3.1;6.0;1.8;726
6.0;2.9;4.9;1.9;728
6.4;2.7;5.5;2.2;729
7.1;2.9;-9999;-9999;730
7.2;2.9;6.0;1.8;731
7.8;3.8;6.4;2.0;732
6.3;2.7;5.6;2.3;733
6.1;2.8;5.1;1.6;734
6.1;2.7;5.5;1.4;735
7.8;3.0;6.0;2.3;736
6.2;3.4;5.5;2.5;737
6.4;2.9;5.5;1.8;738
6.0;3.0;4.7;1.8;739
6.9;3.1;5.3;2.2;740
6.5;3.0;5.5;2.4;741
6.8;3.0;5.2;2.4;742
5.8;2.6;5.2;1.9;743
6.7;3.3;5.8;2.4;744
6.8;3.1;5.7;2.6;745
6.7;2.9;5.3;2.4;746
6.1;2.4;4.9;1.9;747
6.6;3.0;5.1;2.1;748
6.2;3.3;5.4;2.4;749
5.8;3.0;5.1;1.9;750
5.2;3.4;1.4;0.3;751
5.0;3.0;1.3;0.2;752
4.8;3.1;1.2;0.4;753
4.4;3.0;1.5;0.3;754
4.9;3.5;1.2;0.1;755
5.3;3.8;1.8;0.4;756
4.7;3.3;1.3;0.2;757
4.3;2.9;1.5;0.2;759
5.3;3.7;1.4;0.2;761
4.8;3.2;1.6;0.4;762
4.9;3.0;1.4;0.1;763
4.3;3.0;1.1;0.3;764
5.7;3.9;1.2;0.2;765
5.8;4.3;1.5;0.5;766
5.4;3.8;1.2;0.4;767
5.0;3.5;1.4;0.4;768
5.7;3.7;1.6;0.3;769
5.1;3.8;1.5;0.3;770
5.3;3.4;1.6;0.3;771
5.0;3.7;1.4;0.6;772
4.5;3.6;1.1;0.3;773
5.1;3.1;1.6;0.6;774
4.7;3.3;-9999;-9999;775
5.0;2.9;1.5;0.1;776
5.0;3.3;1.6;0.3;777
5.1;3.4;1.5;0.3;778
5.0;3.4;1.4;0.3;779
4.5;3.1;1.5;0.2;780
4.8;3.0;1.5;0.3;781
5.4;3.4;1.5;0.4;782
5.2;4.0;1.5;0.2;783
5.5;4.0;1.4;0.2;784
5.0;3.0;1.5;0.1;785
5.0;3.2;1.3;0.1;786
5.4;3.5;1.3;0.2;787
4.8;3.1;1.4;0.1;788
4.4;2.9;1.3;0.2;789
5.1;3.3;1.6;0.1;790
4.9;3.4;1.2;0.5;791
4.4;2.4;1.2;0.4;792
4.4;3.2;1.3;0.3;793
5.0;3.5;1.6;0.5;794
5.1;3.8;1.9;0.4;795
4.8;3.0;1.5;0.4;796
5.1;3.7;1.6;0.3;797
5.2;3.6;1.4;0.4;799
5.0;3.2;1.2;0.2;800
4.7;2.5;3.3;1.0;808
5.5;3.0;4.5;1.6;817
6.0;2.2;4.5;1.5;819
6.2;2.3;4.9;1.6;823
5.9;2.8;4.5;1.6;829
5.3;2.9;4.4;1.4;835
5.0;2.4;2.9;1.0;849
5.7;2.6;4.0;1.4;850
6.3;3.3;6.1;2.5;851
5.7;2.7;5.1;2.0;852
7.0;3.0;5.8;2.1;853
6.4;2.9;5.7;2.4;855
7.5;2.9;6.6;2.2;856
4.8;2.4;4.5;1.6;857
7.1;2.9;6.2;1.7;858
6.6;2.4;5.7;1.8;859
7.1;3.5;6.0;2.5;860
6.3;2.8;5.2;1.8;862
6.8;2.9;5.5;2.2;863
5.6;2.4;5.0;2.0;864
5.6;2.7;5.1;2.5;865
6.4;3.1;5.1;2.3;866
6.5;2.9;5.4;1.8;867
7.7;3.7;6.6;2.2;868
5.8;2.2;5.0;1.4;870
6.9;3.3;5.7;2.5;871
5.5;2.8;4.9;1.9;872
7.7;2.7;6.5;2.2;873
6.6;3.2;5.7;2.2;875
7.1;3.1;5.8;1.8;876
6.2;2.9;4.8;1.8;877
6.1;2.9;4.7;1.9;878
6.3;2.9;5.6;2.0;879
7.0;2.8;5.6;1.6;880
7.3;2.7;6.0;2.0;881
7.8;3.7;6.4;2.0;882
6.1;2.7;5.0;1.5;884
6.0;2.5;5.5;1.5;885
7.7;2.8;6.1;2.4;886
6.4;3.2;5.6;1.7;888
6.0;3.0;4.7;2.0;889
6.9;3.1;5.4;2.2;890
6.7;3.0;5.5;2.4;891
6.7;3.2;5.0;2.4;892
5.7;2.7;5.0;2.0;893
6.8;3.1;6.0;2.2;894
6.6;3.2;5.6;2.6;895
6.8;2.8;5.2;2.4;896
6.2;2.5;5.0;2.0;897
6.4;3.0;5.2;2.2;898
6.2;3.4;5.3;2.3;899
5.9;3.1;5.1;1.8;900
5.0;3.5;1.2;0.2;901
4.8;3.0;1.2;0.3;902
4.8;3.0;1.2;0.3;903
4.7;3.0;1.3;0.3;904
5.0;3.6;1.5;0.2;905
5.4;3.9;1.6;0.5;906
4.4;3.3;1.3;0.2;907
4.9;3.3;1.5;0.2;908
4.4;2.9;1.4;0.2;909
4.8;3.2;1.4;0.1;910
5.4;3.6;1.4;0.3;911
4.7;3.4;1.4;0.2;912
4.8;2.9;1.4;0.2;913
4.3;3.0;1.1;0.1;914
5.8;4.0;1.1;0.2;915
5.6;4.4;-9999;-9999;916
5.4;3.9;1.2;0.6;917
5.0;3.5;1.3;0.4;918
5.7;3.7;1.5;0.4;919
5.1;3.7;1.5;0.2;920
5.3;3.2;1.7;0.3;921
5.1;3.6;1.5;0.3;922
5.0;3.3;1.5;0.4;924
4.7;3.3;1.8;0.3;925
4.8;3.0;1.6;0.4;926
4.9;3.3;1.6;0.4;927
5.1;3.5;1.4;0.3;928
4.8;3.1;1.7;0.3;930
4.8;3.2;1.6;0.2;931
5.3;3.2;1.5;0.3;932
5.2;4.1;1.5;0.1;933
5.5;4.1;1.3;0.1;934
4.8;3.1;1.4;0.1;935
4.8;3.2;1.1;0.4;936
5.4;3.5;1.1;0.4;937
4.9;3.1;1.4;0.1;938
4.3;2.9;1.4;0.3;939
4.9;3.4;1.4;0.1;940
5.0;3.4;1.3;0.3;941
4.5;2.2;1.3;0.4;942
4.9;3.6;1.6;0.6;944
5.0;3.9;1.7;0.4;945
4.8;3.0;1.3;0.4;946
5.0;3.7;1.6;0.2;947
4.6;3.1;1.4;0.4;948
5.3;3.7;1.4;0.2;949
6.0;2.9;4.7;1.4;964
6.1;2.8;4.8;1.2;974
6.8;2.7;4.7;1.5;977
5.3;3.0;4.5;1.5;985
6.3;2.1;4.3;1.3;988
5.0;2.2;3.2;1.0;994
5.1;2.6;3.0;1.1;999
5.7;2.7;4.0;1.3;1000
6.3;3.2;6.1;2.6;1001
5.8;2.6;4.9;1.9;1002
7.0;2.9;5.9;2.1;1003
6.3;2.8;5.5;1.9;1004
6.5;3.0;5.9;2.3;1005
7.6;3.0;6.5;2.2;1006
4.8;2.6;4.5;1.8;1007
6.8;2.4;5.8;1.9;1009
7.2;3.5;6.1;2.6;1010
6.4;3.1;5.1;2.0;1011
6.3;2.6;5.2;1.9;1012
6.8;2.9;5.5;2.2;1013
5.6;2.5;5.1;2.0;1014
5.7;2.8;5.1;2.5;1015
6.3;3.2;5.3;2.4;1016
6.5;3.0;5.5;1.8;1017
7.7;3.7;6.7;2.2;1018
7.8;2.6;6.9;2.2;1019
6.0;2.2;4.9;1.7;1020
6.8;3.1;5.5;2.4;1021
7.8;2.6;6.6;2.0;1023
6.4;2.6;4.9;1.7;1024
6.7;3.1;5.6;2.3;1025
7.2;3.1;6.0;1.9;1026
6.4;2.7;5.7;2.1;1029
7.1;3.0;5.8;1.6;1030
7.3;2.8;6.0;2.1;1031
7.8;3.8;6.4;2.2;1032
6.5;2.8;5.6;2.2;1033
6.1;2.8;5.1;1.5;1034
6.1;2.6;5.4;1.5;1035
7.8;2.9;6.0;2.2;1036
6.4;3.0;5.4;1.9;1038
6.0;2.9;4.8;1.9;1039
7.0;3.0;5.3;2.2;1040
6.6;3.1;5.4;2.3;1041
6.8;3.1;5.0;2.4;1042
5.6;2.6;4.9;1.9;1043
6.6;3.3;5.8;2.3;1044
6.7;3.3;5.5;2.7;1045
6.6;3.0;5.2;2.4;1046
6.2;2.4;4.9;2.0;1047
6.5;2.9;5.0;2.1;1048
6.3;3.4;5.3;2.3;1049
5.9;3.0;5.1;1.9;1050
5.1;3.5;1.2;0.3;1051
4.9;3.0;1.4;0.3;1052
4.8;3.2;1.2;0.3;1053
4.9;3.6;1.3;0.2;1055
5.5;4.0;1.7;0.5;1056
4.7;3.3;1.2;0.2;1057
4.9;3.3;1.5;0.3;1058
4.4;2.8;1.3;0.3;1059
5.0;3.0;1.5;0.1;1060
4.6;3.3;1.5;0.1;1062
4.8;2.9;1.3;0.2;1063
4.2;2.8;1.0;0.2;1064
5.6;4.0;1.2;0.3;1065
5.8;4.4;1.4;0.5;1066
5.4;4.0;1.3;0.5;1067
5.2;3.3;1.3;0.4;1068
5.7;3.7;1.7;0.4;1069
5.1;3.6;1.5;0.4;1070
5.3;3.4;1.8;0.3;1071
5.0;3.5;1.4;0.5;1072
5.0;3.1;1.6;0.5;1074
4.9;3.4;1.7;0.1;1075
5.0;2.9;1.5;0.2;1076
5.0;3.3;1.7;0.4;1077
5.1;3.5;1.5;0.3;1078
5.1;3.3;1.4;0.2;1079
4.7;3.1;1.4;0.2;1080
4.7;3.1;1.5;0.3;1081
5.3;3.3;1.3;0.6;1082
5.2;4.1;1.6;0.2;1083
5.3;4.1;1.3;0.3;1084
4.9;3.1;1.6;0.1;1085
4.8;3.3;1.2;0.3;1086
5.4;3.4;1.1;0.3;1087
4.4;3.0;1.4;0.3;1089
5.0;3.4;1.6;0.3;1090
5.0;3.5;1.2;0.4;1091
4.5;2.3;1.3;0.5;1092
4.3;3.2;1.4;0.2;1093
4.9;3.3;1.6;0.5;1094
5.1;3.7;2.0;0.4;1095
4.8;3.0;1.3;0.4;1096
5.2;3.7;1.6;0.3;1097
4.5;3.0;1.4;0.2;1098
5.3;3.8;1.5;0.3;1099
5.1;3.2;1.4;0.3;1100
6.4;3.3;4.7;1.6;1107
5.5;3.0;4.4;1.6;1117
6.2;2.8;3.9;1.3;1122
6.0;2.8;4.7;1.4;1124
6.3;2.2;4.3;1.4;1138
5.5;2.4;4.0;1.3;1140
6.2;2.9;4.3;1.2;1148
6.3;3.3;5.8;2.5;1151
5.6;2.6;4.9;2.1;1152
7.1;3.1;5.8;2.1;1153
6.3;2.9;5.4;1.8;1154
6.4;2.9;5.8;23;1155
4.9;2.6;4.5;1.6;1157
7.3;2.9;6.2;1.9;1158
6.6;2.5;5.9;1.9;1159
7.1;3.5;6.1;2.6;1160
6.4;3.0;5.0;2.0;1161
6.8;2.9;5.4;2.1;1163
5.7;2.8;4.9;2.5;1165
6.2;3.1;5.1;2.4;1166
6.5;3.0;5.5;1.8;1167
7.7;3.7;6.7;2.3;1168
7.6;2.6;6.8;2.5;1169
6.1;2.3;5.0;1.7;1170
5.6;2.9;5.0;2.1;1172
7.6;2.7;6.7;2.1;1173
6.4;2.7;4.8;1.9;1174
6.6;3.2;5.6;2.3;1175
