examiner;id;species
Matteo;124;Iris-virginica
Sobhan;125;Iris-virginica
Andrej;126;Iris-virginica
Ahmad;127;Iris-virginica
Matteo;128;Iris-virginica
Sobhan;129;Iris-virginica
Andrej;130;Iris-virginica
Ahmad;131;Iris-virginica
Andrej;134;Iris-virginica
Ahmad;135;Iris-virginica
Matteo;136;Iris-virginica
Sobhan;137;Iris-virginica
Ahmad;139;Iris-virginica
Sobhan;141;Iris-virginica
Andrej;142;Iris-virginica
Ahmad;143;Iris-virginica
Matteo;144;Iris-virginica
Sobhan;145;Iris-virginica
Andrej;146;Iris-virginica
Ahmad;147;Iris-virginica
Matteo;148;Iris-virginica
Sobhan;149;Iris-virginica
Andrej;150;Iris-virginica
Sobhan;151;Iris-setosa
Andrej;152;Iris-setosa
Ahmad;153;Iris-setosa
Matteo;154;Iris-setosa
Sobhan;155;Iris-setosa
Andrej;156;Iris-setosa
Ahmad;157;Iris-setosa
Matteo;158;Iris-setosa
Andrej;160;Iris-setosa
Ahmad;161;Iris-setosa
Matteo;162;Iris-setosa
Sobhan;163;Iris-setosa
Andrej;164;Iris-setosa
Ahmad;165;Iris-setosa
Matteo;166;Iris-setosa
Sobhan;167;Iris-setosa
Andrej;168;Iris-setosa
Ahmad;169;Iris-setosa
Matteo;170;Iris-setosa
Sobhan;171;Iris-setosa
Andrej;172;Iris-setosa
Matteo;174;Iris-setosa
Sobhan;175;Iris-setosa
Andrej;176;Iris-setosa
Andrej;180;Iris-setosa
Ahmad;181;Iris-setosa
Matteo;182;Iris-setosa
Sobhan;183;Iris-setosa
Andrej;184;Iris-setosa
Ahmad;185;Iris-setosa
Matteo;186;Iris-setosa
Sobhan;187;Iris-setosa
Andrej;188;Iris-setosa
Ahmad;189;Iris-setosa
Matteo;190;Iris-setosa
Sobhan;191;Iris-setosa
Ahmad;193;Iris-setosa
Matteo;194;Iris-setosa
Sobhan;195;Iris-setosa
Matteo;198;Iris-setosa
Sobhan;199;Iris-setosa
Andrej;200;Iris-setosa
Ahmad;201;Iris-versicolor
Sobhan;203;Iris-versicolor
Sobhan;211;Iris-versicolor
Sobhan;215;Iris-versicolor
Ahmad;217;Iris-versicolor
Sobhan;239;Iris-versicolor
Sobhan;251;Iris-virginica
Andrej;252;Iris-virginica
Ahmad;253;Iris-virginica
Sobhan;255;Iris-virginica
Andrej;256;Iris-virginica
Ahmad;257;Iris-virginica
Matteo;258;Iris-virginica
Sobhan;259;Iris-virginica
Andrej;260;Iris-virginica
Ahmad;261;Iris-virginica
Matteo;262;Iris-virginica
Sobhan;263;Iris-virginica
Andrej;264;Iris-virginica
Ahmad;265;Iris-virginica
Matteo;266;Iris-virginica
Sobhan;267;Iris-virginica
Andrej;268;Iris-virginica
Ahmad;269;Iris-virginica
Matteo;270;Iris-virginica
Sobhan;271;Iris-virginica
Andrej;272;Iris-virginica
Ahmad;273;Iris-virginica
Matteo;274;Iris-virginica
Sobhan;275;Iris-virginica
Andrej;276;Iris-virginica
Ahmad;277;Iris-virginica
Matteo;278;Iris-virginica
Sobhan;279;Iris-virginica
Andrej;280;Iris-virginica
Ahmad;281;Iris-virginica
Matteo;282;Iris-virginica
Sobhan;283;Iris-virginica
Andrej;284;Iris-virginica
Matteo;286;Iris-virginica
Sobhan;287;Iris-virginica
Andrej;288;Iris-virginica
Ahmad;289;Iris-virginica
Matteo;290;Iris-virginica
Sobhan;291;Iris-virginica
Andrej;292;Iris-virginica
Ahmad;293;Iris-virginica
Matteo;294;Iris-virginica
Sobhan;295;Iris-virginica
Andrej;296;Iris-virginica
Ahmad;297;Iris-virginica
Matteo;298;Iris-virginica
Sobhan;299;Iris-virginica
Andrej;300;Iris-virginica
Sobhan;301;Iris-setosa
Andrej;302;Iris-setosa
Ahmad;303;Iris-setosa
Matteo;304;Iris-setosa
Sobhan;305;Iris-setosa
Andrej;306;Iris-setosa
Matteo;308;Iris-setosa
Sobhan;309;Iris-setosa
Ahmad;311;Iris-setosa
Matteo;312;Iris-setosa
Sobhan;313;Iris-setosa
Andrej;314;Iris-setosa
Ahmad;315;Iris-setosa
Matteo;316;Iris-setosa
Sobhan;317;Iris-setosa
Andrej;318;Iris-setosa
Ahmad;319;Iris-setosa
Matteo;320;Iris-setosa
Sobhan;321;Iris-setosa
Andrej;322;Iris-setosa
Matteo;324;Iris-setosa
Sobhan;325;Iris-setosa
Andrej;326;Iris-setosa
Ahmad;327;Iris-setosa
Matteo;328;Iris-setosa
Sobhan;329;Iris-setosa
Andrej;330;Iris-setosa
Ahmad;331;Iris-setosa
Matteo;332;Iris-setosa
Sobhan;333;Iris-setosa
Andrej;334;Iris-setosa
Ahmad;335;Iris-setosa
Matteo;336;Iris-setosa
Sobhan;337;Iris-setosa
Andrej;338;Iris-setosa
Ahmad;339;Iris-setosa
Matteo;340;Iris-setosa
Sobhan;341;Iris-setosa
Ahmad;343;Iris-setosa
Matteo;344;Iris-setosa
Sobhan;345;Iris-setosa
Andrej;346;Iris-setosa
Ahmad;347;Iris-setosa
Matteo;348;Iris-setosa
Sobhan;349;Iris-setosa
Andrej;350;Iris-setosa
Ahmad;351;Iris-versicolor
Matteo;352;Iris-versicolor
Matteo;356;Iris-versicolor
Matteo;360;Iris-versicolor
Sobhan;369;Iris-versicolor
Ahmad;371;Iris-versicolor
Matteo;372;Iris-versicolor
Sobhan;381;Iris-versicolor
Andrej;390;Iris-versicolor
Sobhan;401;Iris-virginica
Andrej;402;Iris-virginica
Ahmad;403;Iris-virginica
Matteo;404;Iris-virginica
Sobhan;405;Iris-virginica
Ahmad;407;Iris-virginica
Matteo;408;Iris-virginica
Sobhan;409;Iris-virginica
Andrej;410;Iris-virginica
Ahmad;411;Iris-virginica
Matteo;412;Iris-virginica
Sobhan;413;Iris-virginica
Andrej;414;Iris-virginica
Ahmad;415;Iris-virginica
Matteo;416;Iris-virginica
Sobhan;417;Iris-virginica
Andrej;418;Iris-virginica
Ahmad;419;Iris-virginica
Matteo;420;Iris-virginica
Sobhan;421;Iris-virginica
Andrej;422;Iris-virginica
Ahmad;423;Iris-virginica
Matteo;424;Iris-virginica
Sobhan;425;Iris-virginica
Ahmad;427;Iris-virginica
Matteo;428;Iris-virginica
Sobhan;429;Iris-virginica
Andrej;430;Iris-virginica
Ahmad;431;Iris-virginica
Matteo;432;Iris-virginica
Sobhan;433;Iris-virginica
Andrej;434;Iris-virginica
Ahmad;435;Iris-virginica
Matteo;436;Iris-virginica
Sobhan;437;Iris-virginica
Andrej;438;Iris-virginica
Ahmad;439;Iris-virginica
Matteo;440;Iris-virginica
Sobhan;441;Iris-virginica
Ahmad;443;Iris-virginica
Matteo;444;Iris-virginica
Andrej;446;Iris-virginica
Ahmad;447;Iris-virginica
Matteo;448;Iris-virginica
Sobhan;449;Iris-virginica
Andrej;450;Iris-virginica
Sobhan;451;Iris-setosa
Andrej;452;Iris-setosa
Ahmad;453;Iris-setosa
Matteo;454;Iris-setosa
Sobhan;455;Iris-setosa
Andrej;456;Iris-setosa
Ahmad;457;Iris-setosa
Matteo;458;Iris-setosa
Sobhan;459;Iris-setosa
Andrej;460;Iris-setosa
Ahmad;461;Iris-setosa
Matteo;462;Iris-setosa
Sobhan;463;Iris-setosa
Andrej;464;Iris-setosa
Matteo;466;Iris-setosa
Sobhan;467;Iris-setosa
Andrej;468;Iris-setosa
Ahmad;469;Iris-setosa
Matteo;470;Iris-setosa
Sobhan;471;Iris-setosa
Andrej;472;Iris-setosa
Matteo;474;Iris-setosa
Sobhan;475;Iris-setosa
Andrej;476;Iris-setosa
Ahmad;477;Iris-setosa
Matteo;478;Iris-setosa
Sobhan;479;Iris-setosa
Andrej;480;Iris-setosa
Ahmad;481;Iris-setosa
Matteo;482;Iris-setosa
Sobhan;483;Iris-setosa
Andrej;484;Iris-setosa
Ahmad;485;Iris-setosa
Matteo;486;Iris-setosa
Sobhan;487;Iris-setosa
Andrej;488;Iris-setosa
Ahmad;489;Iris-setosa
Matteo;490;Iris-setosa
Sobhan;491;Iris-setosa
Ahmad;493;Iris-setosa
Matteo;494;Iris-setosa
Sobhan;495;Iris-setosa
Andrej;496;Iris-setosa
Ahmad;497;Iris-setosa
Matteo;498;Iris-setosa
Sobhan;499;Iris-setosa
Andrej;500;Iris-setosa
Matteo;510;Iris-versicolor
Ahmad;517;Iris-versicolor
Sobhan;523;Iris-versicolor
Matteo;526;Iris-versicolor
Sobhan;531;Iris-versicolor
Andrej;540;Iris-versicolor
Ahmad;541;Iris-versicolor
Sobhan;547;Iris-versicolor
Sobhan;551;Iris-virginica
Andrej;552;Iris-virginica
Ahmad;553;Iris-virginica
Matteo;554;Iris-virginica
Sobhan;555;Iris-virginica
Andrej;556;Iris-virginica
Ahmad;557;Iris-virginica
Matteo;558;Iris-virginica
Sobhan;559;Iris-virginica
Andrej;560;Iris-virginica
Ahmad;561;Iris-virginica
Matteo;562;Iris-virginica
Sobhan;563;Iris-virginica
Andrej;564;Iris-virginica
Ahmad;565;Iris-virginica
Matteo;566;Iris-virginica
Sobhan;567;Iris-virginica
Andrej;568;Iris-virginica
Ahmad;569;Iris-virginica
Matteo;570;Iris-virginica
Sobhan;571;Iris-virginica
Andrej;572;Iris-virginica
Ahmad;573;Iris-virginica
Matteo;574;Iris-virginica
Sobhan;575;Iris-virginica
Ahmad;577;Iris-virginica
Matteo;578;Iris-virginica
Sobhan;579;Iris-virginica
Andrej;580;Iris-virginica
Ahmad;581;Iris-virginica
Matteo;582;Iris-virginica
Sobhan;583;Iris-virginica
Andrej;584;Iris-virginica
Ahmad;585;Iris-virginica
Matteo;586;Iris-virginica
Sobhan;587;Iris-virginica
Andrej;588;Iris-virginica
Ahmad;589;Iris-virginica
Matteo;590;Iris-virginica
Sobhan;591;Iris-virginica
Andrej;592;Iris-virginica
Ahmad;593;Iris-virginica
Matteo;594;Iris-virginica
Sobhan;595;Iris-virginica
Andrej;596;Iris-virginica
Ahmad;597;Iris-virginica
Matteo;598;Iris-virginica
Sobhan;599;Iris-virginica
Andrej;600;Iris-virginica
Sobhan;601;Iris-setosa
Andrej;602;Iris-setosa
Ahmad;603;Iris-setosa
Matteo;604;Iris-setosa
Sobhan;605;Iris-setosa
Andrej;606;Iris-setosa
Ahmad;607;Iris-setosa
Matteo;608;Iris-setosa
Sobhan;609;Iris-setosa
Ahmad;611;Iris-setosa
Matteo;612;Iris-setosa
Sobhan;613;Iris-setosa
Andrej;614;Iris-setosa
Ahmad;615;Iris-setosa
Matteo;616;Iris-setosa
Ahmad;619;Iris-setosa
Matteo;620;Iris-setosa
Sobhan;621;Iris-setosa
Andrej;622;Iris-setosa
Ahmad;623;Iris-setosa
Matteo;624;Iris-setosa
Sobhan;625;Iris-setosa
Andrej;626;Iris-setosa
Ahmad;627;Iris-setosa
Matteo;628;Iris-setosa
Sobhan;629;Iris-setosa
Andrej;630;Iris-setosa
Ahmad;631;Iris-setosa
Sobhan;633;Iris-setosa
Andrej;634;Iris-setosa
Ahmad;635;Iris-setosa
Matteo;636;Iris-setosa
Sobhan;637;Iris-setosa
Andrej;638;Iris-setosa
Ahmad;639;Iris-setosa
Matteo;640;Iris-setosa
Sobhan;641;Iris-setosa
Andrej;642;Iris-setosa
Ahmad;643;Iris-setosa
Matteo;644;Iris-setosa
Andrej;646;Iris-setosa
Ahmad;647;Iris-setosa
Matteo;648;Iris-setosa
Sobhan;649;Iris-setosa
Andrej;650;Iris-setosa
Andrej;658;Iris-versicolor
Matteo;660;Iris-versicolor
Andrej;666;Iris-versicolor
Matteo;668;Iris-versicolor
Ahmad;671;Iris-versicolor
Matteo;672;Iris-versicolor
Sobhan;673;Iris-versicolor
Sobhan;681;Iris-versicolor
Matteo;684;Iris-versicolor
Andrej;686;Iris-versicolor
Sobhan;701;Iris-virginica
Andrej;702;Iris-virginica
Ahmad;703;Iris-virginica
Matteo;704;Iris-virginica
Sobhan;705;Iris-virginica
Andrej;706;Iris-virginica
Matteo;708;Iris-virginica
Sobhan;709;Iris-virginica
Andrej;710;Iris-virginica
Ahmad;711;Iris-virginica
Matteo;712;Iris-virginica
Sobhan;713;Iris-virginica
Andrej;714;Iris-virginica
Ahmad;715;Iris-virginica
Sobhan;717;Iris-virginica
Ahmad;719;Iris-virginica
Matteo;720;Iris-virginica
Andrej;722;Iris-virginica
Matteo;724;Iris-virginica
Sobhan;725;Iris-virginica
Andrej;726;Iris-virginica
Matteo;728;Iris-virginica
Sobhan;729;Iris-virginica
Andrej;730;Iris-virginica
Ahmad;731;Iris-virginica
Matteo;732;Iris-virginica
Sobhan;733;Iris-virginica
Andrej;734;Iris-virginica
Ahmad;735;Iris-virginica
Matteo;736;Iris-virginica
Sobhan;737;Iris-virginica
Andrej;738;Iris-virginica
Ahmad;739;Iris-virginica
Matteo;740;Iris-virginica
Sobhan;741;Iris-virginica
Andrej;742;Iris-virginica
Ahmad;743;Iris-virginica
Matteo;744;Iris-virginica
Sobhan;745;Iris-virginica
Andrej;746;Iris-virginica
Ahmad;747;Iris-virginica
Matteo;748;Iris-virginica
Sobhan;749;Iris-virginica
Andrej;750;Iris-virginica
Sobhan;751;Iris-setosa
Andrej;752;Iris-setosa
Ahmad;753;Iris-setosa
Matteo;754;Iris-setosa
Sobhan;755;Iris-setosa
Andrej;756;Iris-setosa
Ahmad;757;Iris-setosa
Sobhan;759;Iris-setosa
Ahmad;761;Iris-setosa
Matteo;762;Iris-setosa
Sobhan;763;Iris-setosa
Andrej;764;Iris-setosa
Ahmad;765;Iris-setosa
Matteo;766;Iris-setosa
Sobhan;767;Iris-setosa
Andrej;768;Iris-setosa
Ahmad;769;Iris-setosa
Matteo;770;Iris-setosa
Sobhan;771;Iris-setosa
Andrej;772;Iris-setosa
Ahmad;773;Iris-setosa
Matteo;774;Iris-setosa
Sobhan;775;Iris-setosa
Andrej;776;Iris-setosa
Ahmad;777;Iris-setosa
Matteo;778;Iris-setosa
Sobhan;779;Iris-setosa
Andrej;780;Iris-setosa
Ahmad;781;Iris-setosa
Matteo;782;Iris-setosa
Sobhan;783;Iris-setosa
Andrej;784;Iris-setosa
Ahmad;785;Iris-setosa
Matteo;786;Iris-setosa
Sobhan;787;Iris-setosa
Andrej;788;Iris-setosa
Ahmad;789;Iris-setosa
Matteo;790;Iris-setosa
Sobhan;791;Iris-setosa
Andrej;792;Iris-setosa
Ahmad;793;Iris-setosa
Matteo;794;Iris-setosa
Sobhan;795;Iris-setosa
Andrej;796;Iris-setosa
Ahmad;797;Iris-setosa
Sobhan;799;Iris-setosa
Andrej;800;Iris-setosa
Andrej;808;Iris-versicolor
Ahmad;817;Iris-versicolor
Sobhan;819;Iris-versicolor
Sobhan;823;Iris-versicolor
Ahmad;829;Iris-versicolor
Sobhan;835;Iris-versicolor
Ahmad;849;Iris-versicolor
Matteo;850;Iris-versicolor
Sobhan;851;Iris-virginica
Andrej;852;Iris-virginica
Ahmad;853;Iris-virginica
Sobhan;855;Iris-virginica
Andrej;856;Iris-virginica
Ahmad;857;Iris-virginica
Matteo;858;Iris-virginica
Sobhan;859;Iris-virginica
Andrej;860;Iris-virginica
Matteo;862;Iris-virginica
Sobhan;863;Iris-virginica
Andrej;864;Iris-virginica
Ahmad;865;Iris-virginica
Matteo;866;Iris-virginica
Sobhan;867;Iris-virginica
Andrej;868;Iris-virginica
Matteo;870;Iris-virginica
Sobhan;871;Iris-virginica
Andrej;872;Iris-virginica
Ahmad;873;Iris-virginica
Sobhan;875;Iris-virginica
Andrej;876;Iris-virginica
Ahmad;877;Iris-virginica
Matteo;878;Iris-virginica
Sobhan;879;Iris-virginica
Andrej;880;Iris-virginica
Ahmad;881;Iris-virginica
Matteo;882;Iris-virginica
Andrej;884;Iris-virginica
Ahmad;885;Iris-virginica
Matteo;886;Iris-virginica
Andrej;888;Iris-virginica
Ahmad;889;Iris-virginica
Matteo;890;Iris-virginica
Sobhan;891;Iris-virginica
Andrej;892;Iris-virginica
Ahmad;893;Iris-virginica
Matteo;894;Iris-virginica
Sobhan;895;Iris-virginica
Andrej;896;Iris-virginica
Ahmad;897;Iris-virginica
Matteo;898;Iris-virginica
Sobhan;899;Iris-virginica
Andrej;900;Iris-virginica
Sobhan;901;Iris-setosa
Andrej;902;Iris-setosa
Ahmad;903;Iris-setosa
Matteo;904;Iris-setosa
Sobhan;905;Iris-setosa
Andrej;906;Iris-setosa
Ahmad;907;Iris-setosa
Matteo;908;Iris-setosa
Sobhan;909;Iris-setosa
Andrej;910;Iris-setosa
Ahmad;911;Iris-setosa
Matteo;912;Iris-setosa
Sobhan;913;Iris-setosa
Andrej;914;Iris-setosa
Ahmad;915;Iris-setosa
Matteo;916;Iris-setosa
Sobhan;917;Iris-setosa
Andrej;918;Iris-setosa
Ahmad;919;Iris-setosa
Matteo;920;Iris-setosa
Sobhan;921;Iris-setosa
Andrej;922;Iris-setosa
Matteo;924;Iris-setosa
Sobhan;925;Iris-setosa
Andrej;926;Iris-setosa
Ahmad;927;Iris-setosa
Matteo;928;Iris-setosa
Andrej;930;Iris-setosa
Ahmad;931;Iris-setosa
Matteo;932;Iris-setosa
Sobhan;933;Iris-setosa
Andrej;934;Iris-setosa
Ahmad;935;Iris-setosa
Matteo;936;Iris-setosa
Sobhan;937;Iris-setosa
Andrej;938;Iris-setosa
Ahmad;939;Iris-setosa
Matteo;940;Iris-setosa
Sobhan;941;Iris-setosa
Andrej;942;Iris-setosa
Matteo;944;Iris-setosa
Sobhan;945;Iris-setosa
Andrej;946;Iris-setosa
Ahmad;947;Iris-setosa
Matteo;948;Iris-setosa
Sobhan;949;Iris-setosa
Matteo;964;Iris-versicolor
Andrej;974;Iris-versicolor
Sobhan;977;Iris-versicolor
Sobhan;985;Iris-versicolor
Matteo;988;Iris-versicolor
Andrej;994;Iris-versicolor
Ahmad;999;Iris-versicolor
Matteo;1000;Iris-versicolor
Sobhan;1001;Iris-virginica
Andrej;1002;Iris-virginica
Ahmad;1003;Iris-virginica
Matteo;1004;Iris-virginica
Sobhan;1005;Iris-virginica
Andrej;1006;Iris-virginica
Ahmad;1007;Iris-virginica
Sobhan;1009;Iris-virginica
Andrej;1010;Iris-virginica
Ahmad;1011;Iris-virginica
Matteo;1012;Iris-virginica
Sobhan;1013;Iris-virginica
Andrej;1014;Iris-virginica
Ahmad;1015;Iris-virginica
Matteo;1016;Iris-virginica
Sobhan;1017;Iris-virginica
Andrej;1018;Iris-virginica
Ahmad;1019;Iris-virginica
Matteo;1020;Iris-virginica
Sobhan;1021;Iris-virginica
Ahmad;1023;Iris-virginica
Matteo;1024;Iris-virginica
Sobhan;1025;Iris-virginica
Andrej;1026;Iris-virginica
Sobhan;1029;Iris-virginica
Andrej;1030;Iris-virginica
Ahmad;1031;Iris-virginica
Matteo;1032;Iris-virginica
Sobhan;1033;Iris-virginica
Andrej;1034;Iris-virginica
Ahmad;1035;Iris-virginica
Matteo;1036;Iris-virginica
Andrej;1038;Iris-virginica
Ahmad;1039;Iris-virginica
Matteo;1040;Iris-virginica
Sobhan;1041;Iris-virginica
Andrej;1042;Iris-virginica
Ahmad;1043;Iris-virginica
Matteo;1044;Iris-virginica
Sobhan;1045;Iris-virginica
Andrej;1046;Iris-virginica
Ahmad;1047;Iris-virginica
Matteo;1048;Iris-virginica
Sobhan;1049;Iris-virginica
Andrej;1050;Iris-virginica
Sobhan;1051;Iris-setosa
Andrej;1052;Iris-setosa
Ahmad;1053;Iris-setosa
Sobhan;1055;Iris-setosa
Andrej;1056;Iris-setosa
Ahmad;1057;Iris-setosa
Matteo;1058;Iris-setosa
Sobhan;1059;Iris-setosa
Andrej;1060;Iris-setosa
Matteo;1062;Iris-setosa
Sobhan;1063;Iris-setosa
Andrej;1064;Iris-setosa
Ahmad;1065;Iris-setosa
Matteo;1066;Iris-setosa
Sobhan;1067;Iris-setosa
Andrej;1068;Iris-setosa
Ahmad;1069;Iris-setosa
Matteo;1070;Iris-setosa
Sobhan;1071;Iris-setosa
Andrej;1072;Iris-setosa
Matteo;1074;Iris-setosa
Sobhan;1075;Iris-setosa
Andrej;1076;Iris-setosa
Ahmad;1077;Iris-setosa
Matteo;1078;Iris-setosa
Sobhan;1079;Iris-setosa
Andrej;1080;Iris-setosa
Ahmad;1081;Iris-setosa
Matteo;1082;Iris-setosa
Sobhan;1083;Iris-setosa
Andrej;1084;Iris-setosa
Ahmad;1085;Iris-setosa
Matteo;1086;Iris-setosa
Sobhan;1087;Iris-setosa
Ahmad;1089;Iris-setosa
Matteo;1090;Iris-setosa
Sobhan;1091;Iris-setosa
Andrej;1092;Iris-setosa
Ahmad;1093;Iris-setosa
Matteo;1094;Iris-setosa
Sobhan;1095;Iris-setosa
Andrej;1096;Iris-setosa
Ahmad;1097;Iris-setosa
Matteo;1098;Iris-setosa
Sobhan;1099;Iris-setosa
Andrej;1100;Iris-setosa
Sobhan;1107;Iris-versicolor
Ahmad;1117;Iris-versicolor
Matteo;1122;Iris-versicolor
Andrej;1124;Iris-versicolor
Matteo;1138;Iris-versicolor
Andrej;1140;Iris-versicolor
Andrej;1148;Iris-versicolor
Sobhan;1151;Iris-virginica
Andrej;1152;Iris-virginica
Ahmad;1153;Iris-virginica
Matteo;1154;Iris-virginica
Sobhan;1155;Iris-virginica
Ahmad;1157;Iris-virginica
Matteo;1158;Iris-virginica
Sobhan;1159;Iris-virginica
Andrej;1160;Iris-virginica
Ahmad;1161;Iris-virginica
Sobhan;1163;Iris-virginica
Ahmad;1165;Iris-virginica
Matteo;1166;Iris-virginica
Sobhan;1167;Iris-virginica
Andrej;1168;Iris-virginica
Ahmad;1169;Iris-virginica
Matteo;1170;Iris-virginica
Andrej;1172;Iris-virginica
Ahmad;1173;Iris-virginica
Matteo;1174;Iris-virginica
Sobhan;1175;Iris-virginica
Andrej;1176;Iris-virginica
Ahmad;1177;Iris-virginica
Matteo;1178;Iris-virginica
Sobhan;1179;Iris-virginica
Andrej;1180;Iris-virginica
Ahmad;1181;Iris-virginica
Matteo;1182;Iris-virginica
Sobhan;1183;Iris-virginica
Andrej;1184;Iris-virginica
Ahmad;1185;Iris-virginica
Matteo;1186;Iris-virginica
Sobhan;1187;Iris-virginica
Andrej;1188;Iris-virginica
Ahmad;1189;Iris-virginica
Matteo;1190;Iris-virginica
Sobhan;1191;Iris-virginica
Andrej;1192;Iris-virginica
Ahmad;1193;Iris-virginica
Matteo;1194;Iris-virginica
Sobhan;1195;Iris-virginica
Ahmad;1197;Iris-virginica
Matteo;1198;Iris-virginica
Sobhan;1199;Iris-virginica
Andrej;1200;Iris-virginica
Matteo;1204;Iris-setosa
Sobhan;1205;Iris-setosa
Andrej;1206;Iris-setosa
Matteo;1208;Iris-setosa
Sobhan;1209;Iris-setosa
Andrej;1210;Iris-setosa
Ahmad;1211;Iris-setosa
Matteo;1212;Iris-setosa
Sobhan;1213;Iris-setosa
Andrej;1214;Iris-setosa
Ahmad;1215;Iris-setosa
Matteo;1216;Iris-setosa
Andrej;1218;Iris-setosa
Matteo;1220;Iris-setosa
Sobhan;1221;Iris-setosa
Andrej;1222;Iris-setosa
Ahmad;1223;Iris-setosa
Matteo;1224;Iris-setosa
Sobhan;1225;Iris-setosa
Andrej;1226;Iris-setosa
Ahmad;1227;Iris-setosa
Matteo;1228;Iris-setosa
Sobhan;1229;Iris-setosa
Andrej;1230;Iris-setosa
Ahmad;1231;Iris-setosa
Matteo;1232;Iris-setosa
Sobhan;1233;Iris-setosa
Andrej;1234;Iris-setosa
Ahmad;1235;Iris-setosa
Matteo;1236;Iris-setosa
Sobhan;1237;Iris-setosa
Andrej;1238;Iris-setosa
Ahmad;1239;Iris-setosa
Matteo;1240;Iris-setosa
Sobhan;1241;Iris-setosa
Andrej;1242;Iris-setosa
Ahmad;1243;Iris-setosa
Matteo;1244;Iris-setosa
Sobhan;1245;Iris-setosa
Andrej;1246;Iris-setosa
Ahmad;1247;Iris-setosa
Matteo;1248;Iris-setosa
Sobhan;1249;Iris-setosa
Andrej;1250;Iris-setosa
Andrej;1254;Iris-versicolor
Andrej;1262;Iris-versicolor
Ahmad;1283;Iris-versicolor
Sobhan;1293;Iris-versicolor
Matteo;1296;Iris-versicolor
Matteo;1300;Iris-versicolor
Sobhan;1301;Iris-virginica
Ahmad;1303;Iris-virginica
Matteo;1304;Iris-virginica
Sobhan;1305;Iris-virginica
Andrej;1306;Iris-virginica
Ahmad;1307;Iris-virginica
Matteo;1308;Iris-virginica
Sobhan;1309;Iris-virginica
Andrej;1310;Iris-virginica
Ahmad;1311;Iris-virginica
Andrej;1314;Iris-virginica
Ahmad;1315;Iris-virginica
Matteo;1316;Iris-virginica
Sobhan;1317;Iris-virginica
Andrej;1318;Iris-virginica
Ahmad;1319;Iris-virginica
Matteo;1320;Iris-virginica
Sobhan;1321;Iris-virginica
Andrej;1322;Iris-virginica
Matteo;1324;Iris-virginica
Sobhan;1325;Iris-virginica
Andrej;1326;Iris-virginica
Ahmad;1327;Iris-virginica
Matteo;1328;Iris-virginica
Sobhan;1329;Iris-virginica
Andrej;1330;Iris-virginica
Ahmad;1331;Iris-virginica
Matteo;1332;Iris-virginica
Sobhan;1333;Iris-virginica
Andrej;1334;Iris-virginica
Ahmad;1335;Iris-virginica
Matteo;1336;Iris-virginica
Sobhan;1337;Iris-virginica
Andrej;1338;Iris-virginica
Ahmad;1339;Iris-virginica
Matteo;1340;Iris-virginica
Andrej;1342;Iris-virginica
Ahmad;1343;Iris-virginica
Matteo;1344;Iris-virginica
