"pl";"pw";"sl";"sw";"id"
4.4;3.1;1.5;0.4;11554.0
4.8;3.3;1.7;0.5;11577.0
5.5;2.8;3.6;1.3;11615.0
5.9;3.1;4.7;1.9;11689.0
6.7;3.1;5.3;2.2;11690.0
4.7;3.1;1.6;0.1;11710.0
5.4;4.2;1.3;0.2;11734.0
6.0;2.9;4.5;1.4;11792.0
5.7;2.5;5.2;2.0;11802.0
4.9;3.4;1.6;0.3;11877.0
6.5;2.7;4.5;1.5;11905.0
5.7;2.8;4.3;1.3;11947.0
5.5;3.7;1.4;0.2;12011.0
6.3;3.3;5.2;2.4;12116.0
5.6;3.7;1.8;0.3;12169.0
5.0;3.2;1.7;0.5;12177.0
5.0;3.8;1.9;0.5;12195.0
5.1;3.9;1.4;0.2;12197.0
6.1;2.9;4.3;1.4;12248.0
6.4;2.9;5.5;2.2;12283.0
4.7;3.0;1.4;0.3;12302.0
4.9;3.6;1.3;0.4;12305.0
5.7;2.9;4.4;1.3;12356.0
5.7;2.8;4.0;1.0;12368.0
7.2;3.7;6.1;2.6;12410.0
7.6;3.7;6.7;2.2;12418.0
6.0;2.9;4.9;1.9;12428.0
6.4;2.7;5.6;2.2;12433.0
5.0;3.5;1.4;0.2;12455.0
6.3;2.4;4.9;1.5;12523.0
6.0;2.1;5.0;1.5;12570.0
5.8;2.9;5.0;1.9;12600.0
4.9;3.1;1.5;0.3;12626.0
4.4;2.4;1.4;0.5;12642.0
7.6;3.0;6.5;2.3;12706.0
5.7;2.8;4.4;1.5;12817.0
5.6;4.5;1.5;0.5;12916.0
4.7;3.1;1.5;0.4;12946.0
5.2;3.6;1.4;0.1;12949.0
6.4;3.0;5.4;1.9;13038.0
4.7;3.4;1.6;0.2;13062.0
6.0;2.7;3.8;1.5;13122.0
6.2;2.9;5.6;1.8;13154.0
5.2;4.0;1.5;0.2;13233.0
5.1;3.7;1.4;0.4;13372.0
4.7;3.0;1.3;0.4;13546.0
5.5;2.7;4.3;1.3;13591.0
6.7;3.2;5.5;2.4;13641.0
6.4;2.8;4.3;1.4;13725.0
6.3;3.3;5.9;2.4;13751.0
5.0;3.3;1.5;0.2;13840.0
5.4;2.4;4.0;1.2;13890.0
5.8;2.6;3.8;1.3;13893.0
6.2;2.7;5.0;1.9;13924.0
6.0;2.9;4.9;1.9;13928.0
5.8;3.1;4.8;1.9;13939.0
4.1;3.0;1.0;0.2;13964.0
5.6;2.4;3.8;1.2;14020.0
5.6;2.4;5.0;2.0;14064.0
4.6;3.5;1.8;0.3;14125.0
6.3;3.2;4.5;1.5;14152.0
5.6;2.8;4.5;1.4;14156.0
5.8;2.7;3.8;1.2;14483.0
6.8;3.3;5.7;2.2;14525.0
6.6;2.9;5.2;2.4;14546.0
5.1;3.4;1.4;0.2;14578.0
5.0;3.5;1.6;0.6;14594.0
6.0;2.9;4.6;1.6;14642.0
6.3;2.6;4.7;1.9;14674.0
5.8;2.5;4.9;1.8;14693.0
4.9;3.6;1.3;0.2;14705.0
5.7;3.9;1.1;0.4;14715.0
6.1;2.9;4.8;1.4;14764.0
6.6;3.0;4.3;1.4;14776.0
7.0;2.9;5.9;2.2;14803.0
6.5;2.9;5.8;2.3;14805.0
6.8;3.0;5.0;2.5;14842.0
5.7;2.6;4.9;1.9;14843.0
5.6;3.4;1.2;0.2;14887.0
5.4;2.6;4.3;1.2;14941.0
5.7;2.7;4.2;1.3;14950.0
